estacion,fecha,merra2_temp
Belisario,2006-01-01,15.812783708333356
Belisario,2006-01-02,16.19687045833336
Belisario,2006-01-03,15.549534083333358
Belisario,2006-01-04,16.03713887500002
Belisario,2006-01-05,16.005775708333356
Belisario,2006-01-06,16.013197791666688
Belisario,2006-01-07,16.108749666666693
Belisario,2006-01-08,16.08271050000002
Belisario,2006-01-09,16.69378300000003
Belisario,2006-01-10,17.060450458333356
Belisario,2006-01-11,16.829843041666688
Belisario,2006-01-12,17.5657885416667
Belisario,2006-01-13,17.834399208333352
Belisario,2006-01-14,16.856954250000026
Belisario,2006-01-15,15.899989041666686
Belisario,2006-01-16,16.07198741666669
Belisario,2006-01-17,16.83039245833336
Belisario,2006-01-18,16.020280458333357
Belisario,2006-01-19,16.56828712500002
Belisario,2006-01-20,16.52478941666669
Belisario,2006-01-21,17.11287970833335
Belisario,2006-01-22,17.363061500000022
Belisario,2006-01-23,18.03224466666669
Belisario,2006-01-24,17.782806708333357
Belisario,2006-01-25,18.994265500000022
Belisario,2006-01-26,18.556567125000026
Belisario,2006-01-27,18.343213625000026
Belisario,2006-01-28,18.129331208333355
Belisario,2006-01-29,17.67387537500002
Belisario,2006-01-30,17.821150708333352
Belisario,2006-01-31,17.31596650000003
Belisario,2006-02-01,17.728851458333356
Belisario,2006-02-02,16.834287291666694
Belisario,2006-02-03,17.278630875000026
Belisario,2006-02-04,16.29704179166669
Belisario,2006-02-05,16.550647958333354
Belisario,2006-02-06,16.56969479166669
Belisario,2006-02-07,16.380918041666686
Belisario,2006-02-08,16.991633333333358
Belisario,2006-02-09,16.989793458333356
Belisario,2006-02-10,17.727827958333357
Belisario,2006-02-11,17.472547125000016
Belisario,2006-02-12,17.35386045833335
Belisario,2006-02-13,16.694126291666695
Belisario,2006-02-14,17.201838375000023
Belisario,2006-02-15,18.46218766666669
Belisario,2006-02-16,17.94243645833335
Belisario,2006-02-17,17.29426841666669
Belisario,2006-02-18,17.303806541666695
Belisario,2006-02-19,17.233686083333353
Belisario,2006-02-20,16.487582125000024
Belisario,2006-02-21,16.925359333333358
Belisario,2006-02-22,17.414854958333354
Belisario,2006-02-23,18.25120179166669
Belisario,2006-02-24,16.71690900000002
Belisario,2006-02-25,17.338189750000023
Belisario,2006-02-26,17.292806166666686
Belisario,2006-02-27,16.85207912500002
Belisario,2006-02-28,18.479802791666692
Belisario,2006-03-01,17.58980970833336
Belisario,2006-03-02,18.344538666666683
Belisario,2006-03-03,18.12799095833336
Belisario,2006-03-04,18.036565458333357
Belisario,2006-03-05,17.837971041666687
Belisario,2006-03-06,17.47230170833335
Belisario,2006-03-07,17.10543341666669
Belisario,2006-03-08,17.06218741666669
Belisario,2006-03-09,16.35441741666669
Belisario,2006-03-10,16.447165416666685
Belisario,2006-03-11,16.642774208333357
Belisario,2006-03-12,16.64471083333336
Belisario,2006-03-13,16.595147666666694
Belisario,2006-03-14,17.296416250000018
Belisario,2006-03-15,16.60730775000002
Belisario,2006-03-16,17.024666166666695
Belisario,2006-03-17,16.620573916666697
Belisario,2006-03-18,16.91816095833337
Belisario,2006-03-19,16.616161625000025
Belisario,2006-03-20,16.33098120833336
Belisario,2006-03-21,16.83976775000003
Belisario,2006-03-22,16.455422916666695
Belisario,2006-03-23,16.721138250000028
Belisario,2006-03-24,16.677565500000025
Belisario,2006-03-25,16.406813458333357
Belisario,2006-03-26,17.539414958333353
Belisario,2006-03-27,17.80042166666669
Belisario,2006-03-28,17.988314583333363
Belisario,2006-03-29,17.72847137500002
Belisario,2006-03-30,17.694312125000028
Belisario,2006-03-31,17.770028666666693
Belisario,2006-04-01,17.74454779166669
Belisario,2006-04-02,17.788727041666693
Belisario,2006-04-03,17.775179875000024
Belisario,2006-04-04,16.84624883333336
Belisario,2006-04-05,17.46719900000003
Belisario,2006-04-06,17.14792662500002
Belisario,2006-04-07,17.22299729166669
Belisario,2006-04-08,17.67916637500002
Belisario,2006-04-09,17.487218458333356
Belisario,2006-04-10,17.013347750000023
Belisario,2006-04-11,17.219551333333353
Belisario,2006-04-12,16.607146125000025
Belisario,2006-04-13,16.894273333333356
Belisario,2006-04-14,16.351824708333357
Belisario,2006-04-15,16.764279916666684
Belisario,2006-04-16,17.121315291666694
Belisario,2006-04-17,17.172692916666694
Belisario,2006-04-18,17.62412920833336
Belisario,2006-04-19,17.220985708333355
Belisario,2006-04-20,17.84228662500003
Belisario,2006-04-21,18.309604875000023
Belisario,2006-04-22,18.55413195833336
Belisario,2006-04-23,18.057754750000022
Belisario,2006-04-24,18.04261812500003
Belisario,2006-04-25,17.396614333333357
Belisario,2006-04-26,17.63561787500002
Belisario,2006-04-27,16.75348045833336
Belisario,2006-04-28,17.908232666666688
Belisario,2006-04-29,17.311128291666684
Belisario,2006-04-30,17.692021875000027
Belisario,2006-05-01,18.109576250000025
Belisario,2006-05-02,17.98821150000002
Belisario,2006-05-03,17.898006666666692
Belisario,2006-05-04,17.19840262500002
Belisario,2006-05-05,17.217636291666686
Belisario,2006-05-06,17.876571916666688
Belisario,2006-05-07,17.488099708333355
Belisario,2006-05-08,17.77024866666669
Belisario,2006-05-09,17.499926500000022
Belisario,2006-05-10,17.409435500000022
Belisario,2006-05-11,17.495345000000015
Belisario,2006-05-12,18.152697541666683
Belisario,2006-05-13,18.011532041666687
Belisario,2006-05-14,18.04996891666669
Belisario,2006-05-15,18.032264958333354
Belisario,2006-05-16,17.136698750000022
Belisario,2006-05-17,17.57832750000002
Belisario,2006-05-18,17.67796987500002
Belisario,2006-05-19,17.29502508333336
Belisario,2006-05-20,17.136647750000023
Belisario,2006-05-21,16.60007500000003
Belisario,2006-05-22,17.910707125000016
Belisario,2006-05-23,17.16967675000002
Belisario,2006-05-24,17.02312354166669
Belisario,2006-05-25,16.90426025000002
Belisario,2006-05-26,17.53619925000002
Belisario,2006-05-27,17.23112766666669
Belisario,2006-05-28,17.384919708333353
Belisario,2006-05-29,17.263661916666692
Belisario,2006-05-30,18.27653916666669
Belisario,2006-05-31,17.778794958333354
Belisario,2006-06-01,17.400956708333357
Belisario,2006-06-02,17.260388916666695
Belisario,2006-06-03,17.24325445833335
Belisario,2006-06-04,16.782671875000027
Belisario,2006-06-05,16.51545608333336
Belisario,2006-06-06,16.45129300000002
Belisario,2006-06-07,16.67066975000002
Belisario,2006-06-08,15.507241750000022
Belisario,2006-06-09,16.222933708333358
Belisario,2006-06-10,16.749664625000026
Belisario,2006-06-11,16.901034250000023
Belisario,2006-06-12,17.78228279166669
Belisario,2006-06-13,17.27237225000002
Belisario,2006-06-14,17.29380312500003
Belisario,2006-06-15,17.024069625000024
Belisario,2006-06-16,17.216129666666692
Belisario,2006-06-17,17.33196791666669
Belisario,2006-06-18,17.544929666666693
Belisario,2006-06-19,17.12815254166669
Belisario,2006-06-20,17.093647250000025
Belisario,2006-06-21,17.41323875000003
Belisario,2006-06-22,17.685098291666687
Belisario,2006-06-23,17.520876750000024
Belisario,2006-06-24,17.090314458333356
Belisario,2006-06-25,17.309134416666687
Belisario,2006-06-26,17.658026625000023
Belisario,2006-06-27,17.980457541666688
Belisario,2006-06-28,18.49616775000002
Belisario,2006-06-29,18.428005458333356
Belisario,2006-06-30,18.25207550000002
Belisario,2006-07-01,18.290512375000016
Belisario,2006-07-02,17.88498083333335
Belisario,2006-07-03,17.624215583333356
Belisario,2006-07-04,17.558015458333358
Belisario,2006-07-05,17.47321975000002
Belisario,2006-07-06,17.579554541666692
Belisario,2006-07-07,17.619301041666684
Belisario,2006-07-08,17.70439304166669
Belisario,2006-07-09,17.67940800000002
Belisario,2006-07-10,17.71478933333336
Belisario,2006-07-11,17.51457758333336
Belisario,2006-07-12,17.784951833333356
Belisario,2006-07-13,18.061570708333356
Belisario,2006-07-14,17.87504733333336
Belisario,2006-07-15,17.369875833333356
Belisario,2006-07-16,17.18161295833336
Belisario,2006-07-17,17.081127291666686
Belisario,2006-07-18,16.974332416666687
Belisario,2006-07-19,17.14208879166669
Belisario,2006-07-20,16.883387458333356
Belisario,2006-07-21,17.246121958333358
Belisario,2006-07-22,17.13892891666669
Belisario,2006-07-23,17.09332675000002
Belisario,2006-07-24,17.025750750000025
Belisario,2006-07-25,16.98349395833336
Belisario,2006-07-26,17.195293541666693
Belisario,2006-07-27,16.881543750000024
Belisario,2006-07-28,15.944089541666692
Belisario,2006-07-29,16.82585550000002
Belisario,2006-07-30,17.70115550000002
Belisario,2006-07-31,17.83440800000002
Belisario,2006-08-01,18.24381275000002
Belisario,2006-08-02,17.60731541666669
Belisario,2006-08-03,17.71479062500002
Belisario,2006-08-04,17.288915375000027
Belisario,2006-08-05,18.082883458333356
Belisario,2006-08-06,18.020872958333353
Belisario,2006-08-07,17.772287083333357
Belisario,2006-08-08,17.59630354166669
Belisario,2006-08-09,17.70601041666669
Belisario,2006-08-10,18.13541429166669
Belisario,2006-08-11,18.22476600000002
Belisario,2006-08-12,18.318550333333352
Belisario,2006-08-13,18.192576291666683
Belisario,2006-08-14,18.640154750000026
Belisario,2006-08-15,18.124944333333357
Belisario,2006-08-16,17.918631500000018
Belisario,2006-08-17,17.734825458333354
Belisario,2006-08-18,17.778013958333357
Belisario,2006-08-19,17.674361250000025
Belisario,2006-08-20,17.633521000000023
Belisario,2006-08-21,17.175272875000026
Belisario,2006-08-22,17.499172500000018
Belisario,2006-08-23,17.34600591666669
Belisario,2006-08-24,17.420571958333362
Belisario,2006-08-25,17.100541750000023
Belisario,2006-08-26,17.09374641666669
Belisario,2006-08-27,17.071720333333364
Belisario,2006-08-28,17.65905037500002
Belisario,2006-08-29,17.19132766666669
Belisario,2006-08-30,17.629783875000022
Belisario,2006-08-31,17.441808250000026
Belisario,2006-09-01,17.540722166666686
Belisario,2006-09-02,17.511984708333355
Belisario,2006-09-03,17.239897625000026
Belisario,2006-09-04,18.03607587500002
Belisario,2006-09-05,18.511918750000024
Belisario,2006-09-06,18.13914637500002
Belisario,2006-09-07,17.89169587500002
Belisario,2006-09-08,17.822365125000022
Belisario,2006-09-09,17.424952458333355
Belisario,2006-09-10,17.180963083333356
Belisario,2006-09-11,17.507065083333355
Belisario,2006-09-12,17.897420500000024
Belisario,2006-09-13,17.393809291666695
Belisario,2006-09-14,18.055432916666685
Belisario,2006-09-15,18.000310666666685
Belisario,2006-09-16,17.15069733333336
Belisario,2006-09-17,17.10523633333336
Belisario,2006-09-18,17.263187666666685
Belisario,2006-09-19,17.766203916666687
Belisario,2006-09-20,18.393537208333353
Belisario,2006-09-21,17.876990333333357
Belisario,2006-09-22,18.265641791666685
Belisario,2006-09-23,18.357520041666685
Belisario,2006-09-24,18.170097500000026
Belisario,2006-09-25,18.20065087500002
Belisario,2006-09-26,18.78572866666669
Belisario,2006-09-27,18.60355658333336
Belisario,2006-09-28,18.51257612500002
Belisario,2006-09-29,18.328998791666688
Belisario,2006-09-30,18.071326166666687
Belisario,2006-10-01,18.467746958333358
Belisario,2006-10-02,17.996652208333362
Belisario,2006-10-03,18.01792291666669
Belisario,2006-10-04,18.865547458333356
Belisario,2006-10-05,18.916141750000023
Belisario,2006-10-06,18.624705333333356
Belisario,2006-10-07,18.610793041666685
Belisario,2006-10-08,18.446944166666686
Belisario,2006-10-09,18.64551308333337
Belisario,2006-10-10,18.655819208333355
Belisario,2006-10-11,17.945405625000024
Belisario,2006-10-12,16.682513166666688
Belisario,2006-10-13,17.205162208333352
Belisario,2006-10-14,16.66148520833336
Belisario,2006-10-15,16.486413583333356
Belisario,2006-10-16,17.050545000000024
Belisario,2006-10-17,17.23579816666669
Belisario,2006-10-18,16.660785916666693
Belisario,2006-10-19,16.14142129166669
Belisario,2006-10-20,16.571675791666696
Belisario,2006-10-21,17.231673166666685
Belisario,2006-10-22,16.74205554166669
Belisario,2006-10-23,17.643123791666685
