estacion,fecha,obs_temp,n_horas_validas
Belisario,2006-05-15,15.0439130434783,23
Belisario,2006-05-16,14.7429166666667,24
Belisario,2006-05-17,14.5545833333333,24
Belisario,2006-05-18,14.8529166666667,24
Belisario,2006-05-19,14.5704347826087,23
Belisario,2006-05-20,14.2079166666667,24
Belisario,2006-05-21,12.5958333333333,24
Belisario,2006-05-22,13.5641666666667,24
Belisario,2006-05-23,14.2536363636364,22
Belisario,2006-05-24,14.4325,24
Belisario,2006-05-25,14.0191666666667,24
Belisario,2006-05-26,14.5104166666667,24
Belisario,2006-05-27,13.615,24
Belisario,2006-05-28,14.4004166666667,24
Belisario,2006-05-29,13.9445833333333,24
Belisario,2006-05-30,15.4666666666667,24
Belisario,2006-05-31,14.75375,24
Belisario,2006-06-01,12.8475,24
Belisario,2006-06-02,13.6108333333333,24
Belisario,2006-06-03,14.1966666666667,24
Belisario,2006-06-04,12.7229166666667,24
Belisario,2006-06-05,11.8025,24
Belisario,2006-06-06,11.6133333333333,24
Belisario,2006-06-07,12.6054166666667,24
Belisario,2006-06-08,11.2975,24
Belisario,2006-06-09,10.8945833333333,24
Belisario,2006-06-10,12.0683333333333,24
Belisario,2006-06-11,13.5991666666667,24
Belisario,2006-06-12,14.0095833333333,24
Belisario,2006-06-13,13.45,22
Belisario,2006-06-14,13.6775,24
Belisario,2006-06-15,13.33875,24
Belisario,2006-06-16,13.7691666666667,24
Belisario,2006-06-17,13.945,24
Belisario,2006-06-18,13.66625,24
Belisario,2006-06-19,14.7466666666667,24
Belisario,2006-06-20,14.1083333333333,24
Belisario,2006-06-21,14.65625,24
Belisario,2006-06-22,14.6983333333333,24
Belisario,2006-06-23,13.8579166666667,24
Belisario,2006-06-24,14.3270833333333,24
Belisario,2006-06-25,15.11625,24
Belisario,2006-06-26,15.7129166666667,24
Belisario,2006-06-27,15.6217391304348,23
Belisario,2006-06-28,15.6279166666667,24
Belisario,2006-06-29,15.6304166666667,24
Belisario,2006-06-30,16.2904166666667,24
Belisario,2006-07-01,16.03375,24
Belisario,2006-07-02,15.8695833333333,24
Belisario,2006-07-03,14.5404166666667,24
Belisario,2006-07-04,14.43625,24
Belisario,2006-07-05,14.9708333333333,24
Belisario,2006-07-06,15.5479166666667,24
Belisario,2006-07-07,15.4775,24
Belisario,2006-07-08,15.44625,24
Belisario,2006-07-09,15.48,24
Belisario,2006-07-10,15.6329166666667,24
Belisario,2006-07-11,15.3783333333333,24
Belisario,2006-07-12,15.0554166666667,24
Belisario,2006-07-13,14.975,24
Belisario,2006-07-14,15.105,24
Belisario,2006-07-15,14.2570833333333,24
Belisario,2006-07-16,14.2758333333333,24
Belisario,2006-07-17,14.65875,24
Belisario,2006-07-18,14.9408333333333,24
Belisario,2006-07-19,14.9179166666667,24
Belisario,2006-07-20,14.5145833333333,24
Belisario,2006-07-21,14.1641666666667,24
Belisario,2006-07-22,13.82,24
Belisario,2006-07-23,13.1825,24
Belisario,2006-07-24,13.5916666666667,24
Belisario,2006-07-25,13.0608333333333,24
Belisario,2006-07-26,12.5208333333333,24
Belisario,2006-07-27,12.8083333333333,24
Belisario,2006-07-28,10.4408333333333,24
Belisario,2006-07-29,12.3629166666667,24
Belisario,2006-07-30,14.02375,24
Belisario,2006-07-31,14.95625,24
Belisario,2006-08-01,14.65375,24
