estacion,fecha,obs_temp,n_horas_validas,era5_temp,merra2_temp
Belisario,2006-01-01,13.33,24,12.54758916666669,15.812783708333356
Belisario,2006-01-02,12.4529166666667,24,11.508348333333352,16.19687045833336
Belisario,2006-01-03,11.554347826087,23,10.734357916666694,15.549534083333358
Belisario,2006-01-04,11.0320833333333,24,10.450192916666689,16.03713887500002
Belisario,2006-01-05,11.0016666666667,24,10.92752458333336,16.005775708333356
Belisario,2006-01-06,11.2920833333333,24,10.579029583333355,16.013197791666688
Belisario,2006-01-07,11.67875,24,11.206078750000025,16.108749666666693
Belisario,2006-01-08,13.6075,24,11.96141750000002,16.08271050000002
Belisario,2006-01-09,12.9016666666667,24,12.120470833333352,16.69378300000003
Belisario,2006-01-10,12.8566666666667,24,12.082830833333356,17.060450458333356
Belisario,2006-01-11,12.8775,24,12.376499166666695,16.829843041666688
Belisario,2006-01-12,14.5995833333333,24,12.999174583333357,17.5657885416667
Belisario,2006-01-13,14.5421739130435,23,13.846667916666696,17.834399208333352
Belisario,2006-01-14,13.9325,24,12.725257916666688,16.856954250000026
Belisario,2006-01-15,12.0933333333333,24,12.18586166666669,15.899989041666686
Belisario,2006-01-16,12.0454545454545,22,12.15167833333335,16.07198741666669
Belisario,2006-01-17,13.58375,24,12.919643333333354,16.83039245833336
Belisario,2006-01-19,12.5284210526316,19,11.999710000000023,16.56828712500002
Belisario,2006-01-20,13.2083333333333,24,12.97009375000002,16.52478941666669
Belisario,2006-01-21,13.9658333333333,24,13.56548375000002,17.11287970833335
Belisario,2006-01-22,15.2904166666667,24,13.704704166666687,17.363061500000022
Belisario,2006-01-23,14.8879166666667,24,13.74531916666669,18.03224466666669
Belisario,2006-01-24,14.9829166666667,24,13.843107500000023,17.782806708333357
Belisario,2006-01-25,16.4382608695652,23,14.941192083333355,18.994265500000022
Belisario,2006-01-26,15.7304166666667,24,14.434803333333363,18.556567125000026
Belisario,2006-01-27,14.7020833333333,24,14.020600833333354,18.343213625000026
Belisario,2006-01-28,14.37625,24,13.827210000000022,18.129331208333355
Belisario,2006-01-29,14.2904166666667,24,13.38332708333336,17.67387537500002
