estacion,dias_esperados,dias_validos,dias_faltantes,cobertura_pct,fecha_min_obs,fecha_max_obs,media_temp,sd_temp,min_temp,p25_temp,mediana_temp,p75_temp,max_temp
Belisario,7670,7582,88,98.85267275097783,2005-01-01,2025-12-31,14.06384870348439,1.1819449831850701,9.41583333333333,13.29802083333335,14.13395833333335,14.887395833333324,17.94375
Tumbaco,7670,7508,162,97.88787483702738,2005-01-01,2025-12-31,16.349769957787952,1.3513642942555892,10.0433333333333,15.567395833333325,16.470625,17.262187499999975,20.8221052631579
Cotocollao,7670,7491,179,97.66623207301173,2005-01-01,2025-12-31,14.019598314494377,0.9981068536986013,9.97380952380952,13.379791666666652,14.05375,14.6945833333333,18.0525
LosChillos,7670,7473,197,97.4315514993481,2005-01-01,2025-12-31,15.977608561672971,1.1552866081130402,10.2091666666667,15.215,16.0154166666667,16.775652173913,19.7495833333333
Carapungo,7670,7461,209,97.27509778357236,2005-01-01,2025-12-31,14.830246566489897,1.033810363466134,11.0579166666667,14.1370833333333,14.8329166666667,15.5133333333333,18.6241666666667
