"","estacion","fecha","temp_media_diaria","n_horas_validas"
"117","Belisario",2004-04-28,13.6516666666667,24
"118","Belisario",2004-04-29,14.0066666666667,24
"119","Belisario",2004-04-30,12.9075,24
"120","Belisario",2004-05-01,12.5520833333333,24
"121","Belisario",2004-05-02,12.4295833333333,24
"122","Belisario",2004-05-03,12.82875,24
"123","Belisario",2004-05-04,13.475,24
"124","Belisario",2004-05-05,13.0841666666667,24
"125","Belisario",2004-05-06,13.38625,24
"126","Belisario",2004-05-07,13.97875,24
"127","Belisario",2004-05-08,14.3545833333333,24
"128","Belisario",2004-05-09,14.5254166666667,24
"129","Belisario",2004-05-10,14.1533333333333,24
"130","Belisario",2004-05-11,14.4241666666667,24
"131","Belisario",2004-05-12,14.6616666666667,24
"132","Belisario",2004-05-13,15.17,24
"133","Belisario",2004-05-14,15.5716666666667,24
"134","Belisario",2004-05-15,12.0879166666667,24
"135","Belisario",2004-05-16,12.62875,24
"136","Belisario",2004-05-17,12.1770833333333,24
"137","Belisario",2004-05-18,11.27125,24
"138","Belisario",2004-05-19,10.205,24
"139","Belisario",2004-05-20,13.01875,24
"140","Belisario",2004-05-21,11.7158333333333,24
"141","Belisario",2004-05-22,10.9045833333333,24
"142","Belisario",2004-05-23,11.4945833333333,24
"143","Belisario",2004-05-24,12.25375,24
"144","Belisario",2004-05-25,13.1258333333333,24
"145","Belisario",2004-05-26,10.3575,24
"146","Belisario",2004-05-27,11.0354166666667,24
"147","Belisario",2004-05-28,10.89,24
"148","Belisario",2004-05-29,12.3754166666667,24
"149","Belisario",2004-05-30,12.22375,24
"150","Belisario",2004-05-31,12.63125,24
"151","Belisario",2004-06-01,12.8245833333333,24
"152","Belisario",2004-06-02,13.365,24
"153","Belisario",2004-06-03,13.365,24
"154","Belisario",2004-06-04,11.0691666666667,24
"155","Belisario",2004-06-05,9.96958333333333,24
"156","Belisario",2004-06-06,12.6233333333333,24
"157","Belisario",2004-06-07,13.6254166666667,24
"158","Belisario",2004-06-08,13.05,24
"159","Belisario",2004-06-09,12.0720833333333,24
"160","Belisario",2004-06-10,12.8125,24
"161","Belisario",2004-06-11,12.5405,20
"162","Belisario",2004-06-12,13.5329166666667,24
"163","Belisario",2004-06-13,12.7541666666667,24
"164","Belisario",2004-06-14,13.30125,24
"165","Belisario",2004-06-15,13.3804166666667,24
"166","Belisario",2004-06-16,13.38375,24
"167","Belisario",2004-06-17,14.15375,24
"168","Belisario",2004-06-18,14.4758333333333,24
"169","Belisario",2004-06-19,13.2504166666667,24
"170","Belisario",2004-06-20,13.7625,24
"171","Belisario",2004-06-21,13.90875,24
"172","Belisario",2004-06-22,14.24125,24
"173","Belisario",2004-07-05,12.641,20
"174","Belisario",2004-07-06,11.4625,24
"175","Belisario",2004-07-07,11.1608333333333,24
"176","Belisario",2004-07-08,12.005,24
"177","Belisario",2004-07-09,12.3970833333333,24
"178","Belisario",2004-07-10,12.9133333333333,24
"179","Belisario",2004-07-11,13.10625,24
"180","Belisario",2004-07-12,12.085,24
"181","Belisario",2004-07-13,11.53875,24
"182","Belisario",2004-07-14,10.7208333333333,24
"183","Belisario",2004-07-15,12.0529166666667,24
"184","Belisario",2004-07-16,12.2320833333333,24
"185","Belisario",2004-07-17,12.0195833333333,24
"186","Belisario",2004-07-18,12.0008333333333,24
"187","Belisario",2004-07-19,13.16875,24
"188","Belisario",2004-07-20,12.5870833333333,24
"189","Belisario",2004-07-21,12.6216666666667,24
"190","Belisario",2004-07-22,12.3541666666667,24
"191","Belisario",2004-07-23,11.6691666666667,24
"192","Belisario",2004-07-24,11.2354166666667,24
"193","Belisario",2004-07-25,12.7025,24
"194","Belisario",2004-07-26,12.5208333333333,24
"195","Belisario",2004-07-27,12.4341666666667,24
"196","Belisario",2004-07-28,12.4454166666667,24
"197","Belisario",2004-07-29,13.4379166666667,24
"198","Belisario",2004-07-30,12.80625,24
"199","Belisario",2004-07-31,12.2958333333333,24
"200","Belisario",2004-08-01,12.72,24
"201","Belisario",2004-08-02,13.0320833333333,24
"202","Belisario",2004-08-03,13.3158333333333,24
"203","Belisario",2004-08-04,12.7245833333333,24
"204","Belisario",2004-08-05,11.5704166666667,24
"205","Belisario",2004-08-06,13.1925,24
"206","Belisario",2004-08-07,12.9816666666667,24
"207","Belisario",2004-08-08,12.8241666666667,24
"208","Belisario",2004-08-09,12.88,24
"209","Belisario",2004-08-10,12.6395833333333,24
"210","Belisario",2004-08-11,12.43125,24
"211","Belisario",2004-08-12,12.9429166666667,24
"212","Belisario",2004-08-13,13.2133333333333,24
"213","Belisario",2004-08-14,13.4179166666667,24
"214","Belisario",2004-08-15,13.8658333333333,24
"215","Belisario",2004-08-16,14.425,24
"216","Belisario",2004-08-17,14.5758333333333,24
"217","Belisario",2004-08-18,14.3225,24
"218","Belisario",2004-08-19,13.2054166666667,24
"219","Belisario",2004-08-20,13.2408333333333,24
"220","Belisario",2004-08-21,14.1625,24
